x y z
-1.5 -2.1 9.893403935e-16
-1.4 -2.1 1.672671492e-15
-1.3 -2.1 3.814217775e-15
-1.2 -2.1 1.064361306e-14
-1.1 -2.1 3.252768311e-14
-1 -2.1 1.05767614e-13
-0.9 -2.1 3.741337451e-13
-0.8 -2.1 1.471139778e-12
-0.7 -2.1 6.329266478e-12
-0.6 -2.1 2.840535056e-11
-0.5 -2.1 1.265649879e-10
-0.4 -2.1 5.407419986e-10
-0.3 -2.1 2.170098292e-09
-0.2 -2.1 8.085823182e-09
-0.1 -2.1 2.77841211e-08
0 -2.1 8.767845126e-08
0.1 -2.1 2.534048087e-07
0.2 -2.1 6.694347144e-07
0.3 -2.1 1.614087053e-06
0.4 -2.1 3.547810927e-06
0.5 -2.1 7.102189633e-06
0.6 -2.1 1.293822903e-05
0.7 -2.1 2.143450968e-05
0.8 -2.1 3.227421743e-05
0.9 -2.1 4.414512256e-05
1 -2.1 5.482822909e-05
1.1 -2.1 6.180926873e-05
1.2 -2.1 6.322436951e-05
1.3 -2.1 5.86634887e-05
1.4 -2.1 4.936165304e-05
1.5 -2.1 3.765727678e-05
1.6 -2.1 2.604089395e-05
1.7 -2.1 1.632040615e-05
1.8 -2.1 9.26836737e-06
1.9 -2.1 4.768805078e-06
2 -2.1 2.222765538e-06
2.1 -2.1 9.384372845e-07
2.2 -2.1 3.588389001e-07
2.3 -2.1 1.242614383e-07
2.4 -2.1 3.896547937e-08
2.5 -2.1 1.106365041e-08
2.6 -2.1 2.844218836e-09
2.7 -2.1 6.61984946e-10
2.8 -2.1 1.394860908e-10
